Job ID,Salary Range To,Salary Frequency,# Of Positions,Business Title,Civil Service Title,Title Code No,Level,Job Category,Full-Time/Part-Time indicator,Salary Range From,Salary Range To,Salary Frequency,Work Location,Division/Work Unit,Job Description,Minimum Qual Requirements,Preferred Skills,Additional Information,To Apply,Hours/Shift,Work Location 1,Recruitment Contact,Residency Requirement,Posting Date,Post Until,Posting Updated,Process Date
86699,60241,Annual,2,Graphic Artist,GRAPHIC ARTIST,91415,1, ,F,38443,60241,Annual,"1 Centre St., N.Y.",City Graphics,"Under the direct supervision, with some latitude for the exercise of independent judgment and unreviewed action or decision, performs technical work in the illustration presentation of materials, and interprets informational data in graphic form.    Assists in the design, layout and production of materials for publication purposes using a wide variety of art media and processes for reproduction in black and white, limited or full color and by a variety of reproduction methods, such as photostat, photo-print or slide, ozalid, offset, letter press, silk screen and others; assists in the preparation of posters, informative displays and exhibits.    Prepares, by both freehand and mechanical means, comprehensive layouts, mechanical, paste-ups, charted data, hand lettering and illustrations (for publications and exhibition purposes), for material that may include pamphlets, booklets, posters, informative displays, exhibits maps, charts and graphs.  May on occasion, supervise other graphic artists in the performance of a specific assignment.","(1) A baccalaureate degree, with a major in fine or graphic arts, from an accredited college and one year of full-time paid experience as a commercial or graphic artist; or    (2) A four-year high school diploma or its educational equivalent plus two years of training in a technical school approved by a stateâ€™s Department of Education or comparable governmental agency, in oils, water colors, painting, design, black and white, layout, computer graphics, and other art media, and three years of acceptable full-time paid experience as a commercial or graphic artist.    To be qualified for assignment to Assignment Level II, individuals must have:  (a) at least one year of experience as a Graphic Artist, Assignment Level I; or  (b) the Qualification Requirements described in ""1"" or ""2"" above, plus two additional years of acceptable specialized paid experience conceptualizing and initiating graphic art projects.","2D animation skills are required but 3D animation optional.  Proficient with Adobe CS4 and CS5 software specifically illustrator, Photoshop, indesign, acrobat and flash.  Proficient with MAC and P.C.", ,"Please go to www.nyc.gov/careers or www.nyc.gov/ess for current NYC employees and search for Job ID#: 86699    If you do not have access to the Internet, mail your Cover Letter & Resume to:  Recruitment Coordinator  DCAS/Human Resources Office  1 Centre Street, 17th Floor North  New York, N.Y. 10007  (Indicate JVN# in upper right hand corner of cover letter & resume)  PLEASE SUBMIT YOUR COVER LETTER & RESUME ONLY ONCE USING ONE OF THE ABOVE METHODS. NO PHONE CALLS, FAXES OR PERSONAL INQUIRIES PERMITTED. NOTE: ONLY THOSE CANDIDATES UNDER CONSIDERATION WILL BE CONTACTED", , ,, ,2011-05-10T00:00:00,,2011-05-10T00:00:00,2017-11-07T00:00:00
86699,60241,Annual,2,Graphic Artist,GRAPHIC ARTIST,91415,1, ,F,38443,60241,Annual,"1 Centre St., N.Y.",City Graphics,"Under the direct supervision, with some latitude for the exercise of independent judgment and unreviewed action or decision, performs technical work in the illustration presentation of materials, and interprets informational data in graphic form.    Assists in the design, layout and production of materials for publication purposes using a wide variety of art media and processes for reproduction in black and white, limited or full color and by a variety of reproduction methods, such as photostat, photo-print or slide, ozalid, offset, letter press, silk screen and others; assists in the preparation of posters, informative displays and exhibits.    Prepares, by both freehand and mechanical means, comprehensive layouts, mechanical, paste-ups, charted data, hand lettering and illustrations (for publications and exhibition purposes), for material that may include pamphlets, booklets, posters, informative displays, exhibits maps, charts and graphs.  May on occasion, supervise other graphic artists in the performance of a specific assignment.","(1) A baccalaureate degree, with a major in fine or graphic arts, from an accredited college and one year of full-time paid experience as a commercial or graphic artist; or    (2) A four-year high school diploma or its educational equivalent plus two years of training in a technical school approved by a stateâ€™s Department of Education or comparable governmental agency, in oils, water colors, painting, design, black and white, layout, computer graphics, and other art media, and three years of acceptable full-time paid experience as a commercial or graphic artist.    To be qualified for assignment to Assignment Level II, individuals must have:  (a) at least one year of experience as a Graphic Artist, Assignment Level I; or  (b) the Qualification Requirements described in ""1"" or ""2"" above, plus two additional years of acceptable specialized paid experience conceptualizing and initiating graphic art projects.","2D animation skills are required but 3D animation optional.  Proficient with Adobe CS4 and CS5 software specifically illustrator, Photoshop, indesign, acrobat and flash.  Proficient with MAC and P.C.", ,"Please go to www.nyc.gov/careers or www.nyc.gov/ess for current NYC employees and search for Job ID#: 86699    If you do not have access to the Internet, mail your Cover Letter & Resume to:  Recruitment Coordinator  DCAS/Human Resources Office  1 Centre Street, 17th Floor North  New York, N.Y. 10007  (Indicate JVN# in upper right hand corner of cover letter & resume)  PLEASE SUBMIT YOUR COVER LETTER & RESUME ONLY ONCE USING ONE OF THE ABOVE METHODS. NO PHONE CALLS, FAXES OR PERSONAL INQUIRIES PERMITTED. NOTE: ONLY THOSE CANDIDATES UNDER CONSIDERATION WILL BE CONTACTED", , ,, ,2011-05-10T00:00:00,,2011-05-10T00:00:00,2017-11-07T00:00:00
87990,65485,Annual,1,Account Manager,CONTRACT REVIEWER (OFFICE OF L,40563,1, , ,42405,65485,Annual,110 William St. N Y,Strategy & Analytics,"Division of Economic & Financial Opportunity (DEFO)    Mayor Michael R. Bloomberg and SBS are committed to encouraging a competitive and diverse New York City business environment by promoting the growth and success of minority and women-owned companies.  New York Cityâ€™s Minority and Women-owned Business Enterprise (M/WBE) program is designed to help these historically underserved groups become more competitive.    JOB DESCRIPTION           The Account Manager will provide a range of supportive services to City agency purchasing personnel and private-sector prime contractors to help them comply with M/WBE utilization goals under Local Law 129.  The Account Manager will oversee a portfolio of several City agencies and will be responsible for the monitoring and oversight of the strategies which have been broadly laid out for agencies to increase M/WBE utilization.  The primary objective for the Account Manager is to help agencies increase the number and dollar value of contracts awarded to M/WBE at various contract levels.  Specifically, the Account Manager will seek to bring agencies into compliance with the Citywide utilization goals and other metrics used for measuring agency performance. Each account manager will be responsible for procurements of all sizes and methods for their respective agencies.  The Account Manager will report to the Director of Procurement Initiatives.    Account Manager Model  Each agency has very specific vendor requirements and needs, as well as obstacles to increasing M/WBE Utilization. The account managers will learn what is procured, by what method, how frequently, and how to get more M/WBEs participating in the process. The account manager will leverage their procurement contacts to work directly with program end users to identify needs and obstacles and create appropriate solutions.    The Account Managerâ€™s responsibilities will include the following:  1.	Research agency procurement practices, requirements, in order to connect M/WBE firms with future procurement opportunities   2.	Work with the agency senior staff to implement strategies to increase M/WBE participation   3.	Introduce new M/WBE firms to agency staff   4.	Assist agency staff with tools to improve performance, including monitoring prime contractor performance relating to M/WBE subcontractor utilization goals   5.	Inform agency senior staff of their performance against goals on a regular basis   6.	Assist program and procurement staff with program implementation questions as they arise   7.	Produce  analysis of agency contracts and M/WBE program performance   8.	Coordinate resources for agencies as necessary, including networking events, training sessions, etc.","1.	A baccalaureate degree from an accredited college and two years of experience in community work or community centered activities in an area related to the duties described above; or  2.	High school graduation or equivalent and six years of experience in community work or community centered activities in an area related to the duties as described above; or  3.	Education and/or experience which is equivalent to ""1"" or ""2"" above. However, all candidates must have at least one year of experience as described in ""1"" above.","â€¢	Excellent interpersonal and organizational skills.  â€¢	Excellent analytic and operational skills.  â€¢	Excellent writing and editing skills.  â€¢	Knowledge of government procurement processes and information systems desirable.  â€¢	Foreign language skills a plus.","Salary range for this position is: $42,405 - $45,000 per year", , , ,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2011-06-24T00:00:00,,2011-06-24T00:00:00,2017-11-07T00:00:00
97899,162014,Annual,1,"EXECUTIVE DIRECTOR, BUSINESS DEVELOPMENT",ADMINISTRATIVE BUSINESS PROMOT,10009,M3, ,F,60740,162014,Annual,110 William St. N Y,Tech Talent Pipeline,"The New York City Department of Small Business Services (SBS) is a vibrant, client-centered agency whose mission is to serve New Yorkâ€™s small businesses, jobseekers and commercial districts.  SBS makes it easier for companies in New York City to start, operate, and expand by providing direct assistance to business owners, supporting commercial districts, promoting financial and economic opportunity among minority- and women-owned businesses, preparing New Yorkers for jobs, and linking employers with a skilled and qualified workforce.  SBS continues to reach for higher professional standards through innovative systems, new approaches to government, and a strong focus on its employees.    NYC Business Solutions is a set of services offered by the NYC Department of Small Business Services to help businesses start, operate, and expand in New York City.  All services are offered at no cost and are available to businesses of any size and at any stage.  Services can be accessed through the cityâ€™s 7 NYC Business Solutions Centers, 6 Career Centers, and 3 Sector Centers located throughout the 5 boroughs.  In 2010, NYC Business Solutions provided services to over 10,000 business customers located throughout the five boroughs.    The Executive Director of Business Development will lead agency efforts to acquire new business customers and to increase the number of NYC Business Solutions services utilized by existing customers. The Executive Director is responsible for developing the business development strategy for all NYC Business Solutions services and ensuring effective implementation through the management of internal and external sales resources. The Executive Director will provide direct supervision to 3 Senior Account Managers and will oversee 16 sales teams in the field (70 total field staff).  The Executive Director will also lead the professional development program for all staff engaging directly with business customers and is responsible for collaborating with the NYC Business Solutions marketing team to improve brand recognition throughout the five boroughs.    Specific responsibilities include:     Develop and execute the Agencyâ€™s business development strategy for all NYC Business Solutions services    Identify business targets and coordinate sales efforts across sales teams to ensure efficient usage of system-wide resources    Manage sales teams to meet their quarterly and annual sales goals through quarterly business development planning meetings and regular check-ins    Directly supervise three Senior Account Managers and oversee approximately 70 field staff located at the cityâ€™s 7 NYC Business Solutions Centers, 6 Career Centers, and 3 Sector Centers    Track and analyze system sales activities using Oracle CRM On Demand    Collaborate with NYC Business Solutions and Workforce1 program management teams to link sales activity and service delivery    Identify and create sales tools that enable sales teams to more effectively sell NYC Business Solutions services    Design and implement the professional development program for all business facing staff   Develop curriculum and lead sales training sessions for new and existing staff  Organize and lead industry knowledge sessions with sector experts to deepen sales teamsâ€™ understanding of business prospects   Lead sector focused working groups to build industry expertise and  disseminate best practices across sales teams  Increase awareness of NYC Business Solutions Services throughout the five boroughs of New York City  Assist the marketing team to develop brochures, flyers, and advertisements to promote NYC Business Solutions services and events  Participate in panel discussions and deliver public presentations at events  Establish partnerships with non-profit organizations, government agencies, and the private sector to generate referrals for NYC Business Solutions services      Preferred Skills:  The ideal candidate will have demonstrated success developing and implementing business driven programs and will have exhibited:     Strong management and leadership skills   Experience planning, implementing and managing projects involving diverse stakeholders   Extensive private or public sector experience in business development and sales  The ability to organize and drive projects to timely completion   The ability to actively listen and synthesize disparate viewpoints into a shared vision   The ability to handle complexity in fast-paced entrepreneurial environments   The ability to communicate effectively with a diverse array of internal and external stakeholders   The ability to combine attention to detail with a clear understanding of the big picture   Outstanding presentation, writing, and communications skills   Outstanding analytical, problem solving, presentation and creative thinking abilities   Excellent MS Excel, Word and Power Point skills   Experience with Oracle CRM On Demand, SalesForce, or other customer relationship management tool preferred but not required  Foreign language skills a plus","1. A baccalaureate degree from an accredited college or university and five years of full-time paid experience acquired within the last fifteen years, of supervisory or administrative experience including handling of business promotion or urban economic problems, at least 2 years of which must have been in a managerial or executive capacity with primary focus on business promotion or urban economic planning; or    2. A satisfactory equivalent combination of education and experience. However all candidates must have 2 years of managerial or executive experience as described in ""1"" above.     Appropriate graduate study in an accredited college or university may be substituted for the general experience on a year-for-year basis. All candidates must have a four-year high school diploma or its equivalent approved by a State's Department of Education or a recognized accrediting organization.", , ,"In addition to applying through this website,  also email your resume and cover letter including the following subject line:     Executive Director â€“ Business Development to: careers@sbs.nyc.gov       Salary range for this position is: $85,000 - $87,000 per year    NOTE: Only those candidates under consideration will be contacted.", , ,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2012-01-26T00:00:00,,2012-01-26T00:00:00,2017-11-07T00:00:00
102221,52496,Annual,1,Project Specialist,ENVIRONMENTAL ENGINEERING INTE,20616,0, ,F,43349,52496,Annual,253 Broadway New York Ny,Envrnmntl Planng/Ofc of Brnf,"Under direct supervision, perform elementary environmental engineering work in the field, office or laboratory and receives training in engineering work of moderate difficulty and responsibility on the Assistant Environmental Engineer level.  The work and training may be in one or more of the following engineering areas: development, design, drafting, specifications, estimating, construction, inspection, operations, maintenance, prepares associated reports and correspondence and maintains records; performs related work.  The candidate will review investigation and remediation work plans and reports, evaluate and interpret environmental data, inspect remedial work activities schedule projects and will assist in evaluating work performance.  This position is a grant funded two year position.","A Baccalaureate degree from an accredited college in environmental, chemical, mechanical, petroleum, aeronautical or materials engineering.  A Baccalaureate degree in engineering technology is not acceptable.", ,Appointments are subject to OMB approval,click the apply now button,35 hours per week/day, ,,New York City Residency is not required for this position,2012-06-21T00:00:00,,2012-09-07T00:00:00,2017-11-07T00:00:00
102221,52496,Annual,1,Project Specialist,ENVIRONMENTAL ENGINEERING INTE,20616,0, ,F,43349,52496,Annual,253 Broadway New York Ny,Envrnmntl Planng/Ofc of Brnf,"Under direct supervision, perform elementary environmental engineering work in the field, office or laboratory and receives training in engineering work of moderate difficulty and responsibility on the Assistant Environmental Engineer level.  The work and training may be in one or more of the following engineering areas: development, design, drafting, specifications, estimating, construction, inspection, operations, maintenance, prepares associated reports and correspondence and maintains records; performs related work.  The candidate will review investigation and remediation work plans and reports, evaluate and interpret environmental data, inspect remedial work activities schedule projects and will assist in evaluating work performance.  This position is a grant funded two year position.","A Baccalaureate degree from an accredited college in environmental, chemical, mechanical, petroleum, aeronautical or materials engineering.  A Baccalaureate degree in engineering technology is not acceptable.", ,Appointments are subject to OMB approval,click the apply now button,35 hours per week/day, ,,New York City Residency is not required for this position,2012-06-21T00:00:00,,2012-09-07T00:00:00,2017-11-07T00:00:00
114352,109850,Annual,5,Deputy Plant Chief,SENIOR STATIONARY ENGINEER (EL,91639,0, ,F,109850,109850,Annual,"Wards Island, N.Y.",Wards Island,"Under general direction, is in responsible charge of the operation, maintenance, repair,  testing and adjustment of all equipment, apparatus and structures of one or more  electrically powered wastewater treatment plants, dewatering facilities and/or collection facilities.  Supervises and coordinates the work of location personnel.    CERTIFICATION REQUIREMENT:    Candidates appointed to the Wastewater Treatment Plants operated by the Department of Environmental Protection must possess certification as a Grade 3 Operator of Public Sewage Treatment Plants by the New York State Department of Environmental Conservation.  This certification must be maintained for the duration of the assignment.","1. Six years of full-time satisfactory experience within the last 10 years in responsible charge of the operation of plants or facilities utilizing high tension electrical equipment (over 600 volts), including troubleshooting and repairing such equipment, in one or more of the following: electrical generating stations, electrical switching stations, water treatment plants, wastewater treatment plants, water pumping stations or high volume ventilation systems, one year of which must have been in a supervisory capacity; or    2. Three years of full-time satisfactory experience as described in ""1"" above, one year of which must have been in a supervisory capacity, and a baccalaureate degree in electrical, civil or mechanical engineering from an accredited college; or    3. Five years of full-time satisfactory experience as described in ""1"" above, one year of which must have been in a supervisory capacity, and an associate degree in Science or Applied Science from an accredited college with a major in Water Quality Monitoring, Wastewater Treatment Plant Operations, Environmental Health, Environmental Control, Electrical Technology or Mechanical Technology; or    4. Three years of full-time satisfactory experience as described in ""1"" above, and four years of full-time satisfactory experience as an electrician; one year of this experience must have been in a supervisory capacity; or    5. Six years of full-time satisfactory experience within the last 10 years as an electrician, including three years of full-time satisfactory experience troubleshooting and repairing high tension electrical equipment (600 volts or more), as described in ""1"" above; one year of this experience must have been in a supervisory capacity; or    6. A satisfactory combination of education and/or experience which is equivalent to ""1"", ""2"", ""3"", ""4"" or ""5"" above. Education may be substituted for experience on the basis that one year of experience is equivalent to 60 semester credits from an accredited college leading to a baccalaureate or associate degree in one of the disciplines described in ""2"" or ""3"" above. However, all candidates must have at least three years of satisfactory experience as described in ""1"" above, except for candidates who qualify under ""5"" above, and at least one year of supervisory experience.    License Requirement    Must possess a motor vehicle driver license valid in the State of New York. This license must be maintained for the duration of employment.", ,"Appointments are subject to OMB approval    For additional information about DEP, visit www.nyc.gov/dep","Click ""Apply Now"" button",40 per week / day,Various,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2012-12-12T00:00:00,,2012-12-13T00:00:00,2017-11-07T00:00:00
117261,52496,Annual,1,CIVIL ENGINEERING INTERN,CIVIL ENGINEERING INTERN,20202,0, ,F,43349,52496,Annual,59-17 Junction Blvd Corona Ny,Green Infrastructure,"The selected candidate will be responsible for managing and prioritizing the implementation of the NYC Green Roof Tax Abatement (GRTA) as well as working on green infrastructure projects in DEPâ€™s Office of Green Infrastructure.     Tasks related to the GRTA will include advising applicants toward successful timely completion of building permit and abatement application processes; performing post-construction and compliance period inspections of green roofs required by the abatement; and tracking permit applications for green roofs and other onsite green infrastructure installations on private development lots.  The selected candidate will review consultantâ€™s design of onsite green infrastructure proposals and their code compliance.  The selected candidate should have experience with onsite GI practices such as green roofs, plan review, drainage analysis, soil mechanics, and an understanding of structural analyses and roof loadings.      The selected candidate will also conduct field Inspections and document construction of Green Infrastructure in Right of Way and on-site.  Duties related to green infrastructure include identifying potential locations for the construction of green infrastructure by hydraulic analysis, developing drawings, write specifications and prepare estimates of quantities.  The selected candidate will conduct field investigations for potential construction; manage design and construction projects; review or examine plans for the construction, demolition or alteration of structures to comply with the provisions of the law, rule, or regulation; check shop drawings; inspect construction operations by observing, checking and certifying the installation of materials/equipment and attests to equipment performance and tests and materials; engage in research, investigation, or studies related to the engineering functions or activities of the Office of Green Infrastructure.     The selected candidate will make presentations to and coordinate with other DEP Bureaus, City agencies, and local stakeholder and community organizations.",A baccalaureate degree in civil engineering from an accredited college. A degree in civil engineering technology is not acceptable., ,"Appointments are subject to OMB approval. For additional information about DEP, visit www.nyc.gov/dep.","Click the ""APPLY NOW"" button.",35 hrs week/day shift,59-17 Junction Blvd Corona Ny,,New York City Residency is not required for this position,2013-02-20T00:00:00,,2013-02-25T00:00:00,2017-11-07T00:00:00
117261,52496,Annual,1,CIVIL ENGINEERING INTERN,CIVIL ENGINEERING INTERN,20202,0, ,F,43349,52496,Annual,59-17 Junction Blvd Corona Ny,Green Infrastructure,"The selected candidate will be responsible for managing and prioritizing the implementation of the NYC Green Roof Tax Abatement (GRTA) as well as working on green infrastructure projects in DEPâ€™s Office of Green Infrastructure.     Tasks related to the GRTA will include advising applicants toward successful timely completion of building permit and abatement application processes; performing post-construction and compliance period inspections of green roofs required by the abatement; and tracking permit applications for green roofs and other onsite green infrastructure installations on private development lots.  The selected candidate will review consultantâ€™s design of onsite green infrastructure proposals and their code compliance.  The selected candidate should have experience with onsite GI practices such as green roofs, plan review, drainage analysis, soil mechanics, and an understanding of structural analyses and roof loadings.      The selected candidate will also conduct field Inspections and document construction of Green Infrastructure in Right of Way and on-site.  Duties related to green infrastructure include identifying potential locations for the construction of green infrastructure by hydraulic analysis, developing drawings, write specifications and prepare estimates of quantities.  The selected candidate will conduct field investigations for potential construction; manage design and construction projects; review or examine plans for the construction, demolition or alteration of structures to comply with the provisions of the law, rule, or regulation; check shop drawings; inspect construction operations by observing, checking and certifying the installation of materials/equipment and attests to equipment performance and tests and materials; engage in research, investigation, or studies related to the engineering functions or activities of the Office of Green Infrastructure.     The selected candidate will make presentations to and coordinate with other DEP Bureaus, City agencies, and local stakeholder and community organizations.",A baccalaureate degree in civil engineering from an accredited college. A degree in civil engineering technology is not acceptable., ,"Appointments are subject to OMB approval. For additional information about DEP, visit www.nyc.gov/dep.","Click the ""APPLY NOW"" button.",35 hrs week/day shift,59-17 Junction Blvd Corona Ny,,New York City Residency is not required for this position,2013-02-20T00:00:00,,2013-02-25T00:00:00,2017-11-07T00:00:00
151937,92249,Annual,4,Assistant Project Manager,ASSOCIATE PROJECT MANAGER,22427,2,"Engineering, Architecture, & Planning",F,62942,92249,Annual,Office for Exec Proj Manager,Project Mgmt Dept Team 3,"The Assistant Project Manager will provide support to Project Manager(s) in preparing Project Management Plans, executing front line management of construction contracts, monitoring reporting systems and ensuring prompt payments to contractors.  Responsibilities include, but are not limited to the following:      1.  Assist in management of contracts through all project phases â€“ design, procurement, construction, and closeout.   2.  Monitor job phases to ensure compliance with timeliness and all contract deliverables.   3.  Assist Project Manager with submissions, sub-contractor approval process, payments, RFIs, schedules; identify front loading of schedules and schedule of values.  4.  Maintain comprehensive project history files per HUD requirements and assists in audit of contracts by HUD or other stakeholders.   5.  Coordinate meetings with external stakeholders.    6.  Coordinate project schedules with team.  7.  Prepare project correspondence and reports; respond to inquiries.  8.  Review final design documents and submit documents to Cost Estimating Unit.   9.  Prepare request for bid package.    10. Attend bid openings and advise Project Manager on responsiveness of bidders; assist in bid comparison, recommendation to award process and review of Board Resolutions.   11. Debrief project team prior to contract award.   12. Visit field sites to assist in resolving design and/or construction issues as required.   13. Obtain all required external approvals, i.e. Certificate to Proceed, to ensure proper funding is in place; follow up on funding approvals, State and/or City funded projects.  14. Coordinate with Property Management, Violations Unit and other external stakeholders as needed.      NOTE:   Employees serving in the title of or who meet the qualification requirements for Construction Project Manager will be considered.","One year of full-time satisfactory experience in supervising employees performing project management work, such as planning, administering, managing, coordinating, or expediting, on engineering and/or architectural and/or landscape architectural projects, or supervising a construction project with a value of $1,000,000 or more, and either:  1. A baccalaureate degree from an accredited college in engineering, engineering technology, architecture, architectural technology, landscape architecture, business administration, or public administration, and one year of full-time satisfactory experience in project management work, such as planning, administering, managing, coordinating, or expediting, for engineering and/or architectural and/or landscape architectural projects; or  2. A four-year high school diploma or its educational equivalent approved by a Stateâ€™s Department of Education or a recognized accrediting organization and five years of experience as described in â€œ1â€ above; or  3. A four-year high school diploma or its educational equivalent approved by a Stateâ€™s Department of Education or a recognized accrediting organization plus any combination of college education and/or experience described in â€œ1â€ above to make up the equivalent of five years of education and experience. One year of experience credit will be given for (a) each 30 semester credits of college education leading to a bachelorâ€™s degree from an accredited college in engineering, engineering technology, architecture, architectural technology, landscape architecture, business administration or public administration; (b) a Masters degree from an accredited university in one of the disciplines described in â€œ1â€ above; or (c) a valid New York State license as a Professional Engineer, Registered Architect, or Registered Landscape Architect.  Experience which is primarily of a design nature is not acceptable towards meeting the qualification requirements.  4.  In addition to meeting the qualification requirements for Assignment Level I, candidates must have at least one additional year of experience as described in ""1"" above in a supervisory capacity or have served for at least one year as a project manager for a large and/or complex construction project.  5.  In addition to meeting the qualification requirements for Assignment Level I, candidates must have at least two additional years of experience as described in ""1"" above in a supervisory capacity or have served for at least two additional years as a project manager for a large and/or complex construction project.",1.  Five (5) plus years managing construction projects with high dollar value and/or administering requirement contracts.   2.  Exceptional leadership abilities.  3.  Excellent written and verbal communication skills.,"SPECIAL INSTRUCTIONS FOR NYCHA EMPLOYEES:    NYCHA employees applying for promotional, title or level change opportunities must have served a period of one year in their current title and level (if applicable).","Click the ""Apply Now"" button.", , ,,NYCHA has no residency requirements.,2014-08-16T00:00:00,,2014-10-15T00:00:00,2017-11-07T00:00:00
